Mood,Dua (Arabic),Dua Translation,Dua Reference
happiness,وَقَالُوا الْحَمْدُ لِلَّهِ الَّذِي أَذْهَبَ عَنَّا الْحَزَنَ إِنَّ رَبَّنَا لَغَفُورُ شَكُورُ,"and they said ""Praise be to Allah who has removed us from our sorrows. Indeed, our Lord is forgiving and appreciative.""","Fātir 35:34"
Optimism, إِنَّ مَعَ الْعُسْرِ يُسْرًا,"Indeed, with hardship comes ease.","Al-Inshirah 94:6"
Joy, فَفَرِحُوا۟ بِمَا عِندَهُم مِّنَ ٱلْعِلْمِ وَحَاقَ بِهِم مَّا كَانُوا۟ بِهِ يَسْتَهْزِءُونَ,"But they rejoice in what little knowledge they have, while being overwhelmed by that which they used to ridicule.","Ghafir 40:83"
sadness,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْهَمِّ وَالْحُزْنِ وَأَعُوذُ بِكَ مِنَ الْعَجْزِ وَالْكَسَلِ وَأَعُوذُ بِكَ مِنَ الجُبْنِ وَالبُخْلِ وَأَعُوذُ بِكَ مِنْ غَلَبَةِ الدَّيْنِ وَقَهْرِ الرِّجَالِ,"O Allah! I seek refuge in You from worry and grief, and I seek refuge in You from helplessness and laziness, and I seek refuge in You from cowardice and miserliness, and I seek refuge in You from being overcome by debt and being oppressed by men.","Sahih al-Bukhari 6369"
anger,أَعُوذُ بِاللَّهِ مِنَ الشَّيْطَنِ الرَّحِيمِ,"I seek refuge in Allah from Satan.","Sahih al-Bukhari 6115"
fear,يا رب ارفع قلبي ويسر لي أمري، وأزل العقدة من لساني حتى يفهموا كلامي.,"O Allah! Lift up my heart and ease my task for me. Remove the impediment from my tongue so that they may understand my speech.","Quran 20:25-28"
surprise, سُبْحَانَ اللهِ , "Glory is to Allah","Hadith: Sahih Bukhari"
guilt,لَآ إِلٰهَ إِلَّآ أَنْتَ سُبْحَانَكَ إِنِّيْ كُنْتُ مِنَ الظَّالِمِيْنَ,"There is no god worthy of worship except You. You are free from imperfection. Indeed, I have been of the wrongdoers.","Quran 21:87"
relief,الحمد لله على كل شيء,"Thank you Allah for everything.","Sahih al-Bukhari 844"
jealously,اللهم طهر قلبي من كل سوء ، اللهم طهر قلبي من كل ما يبغضك، اللهم طهر قلبي من كل غلٍ وحقدٍ وحسد وكبر,"O Allah! Clean my heart of all evil. O Allah! Purify my heart from everything that displeases You. O Allah! Purify my heart from bitterness, malice, jealousy, and arrogance.","Mishkat al-Masabih 2501"
loneliness,أَعُوذُ بِكَلِمَاتِ اللهِ التَّامَّاتِ مِنْ غَضَبِهِ وَعِقَابِهِ، وَشَرِّ عِبَادِهِ، وَمِنْ هَمَزَاتِ الشَّيَاطِينِ وَأَنْ يَحْضُرُونِ,"I seek refuge in the Perfect Words of Allah from His anger, His punishment, the evil of His slaves, the taunts of devils, and their presence.","Hisnul Muslim 113"
embarrassment,اللَّهُمَّ لاَ سَهْلَ إِلاَّ مَا جَعَلْتَهُ سَهْلاً وَأَنْتَ تَجْعَلُ الْحَزْنَ إِذَا شِئْتَ سَهْلاً,"O Allah! Nothing is easy except what You make easy, and You make hardship easy if You will.","Hisnul Muslim 139"
gratitude,اللَّهُمَّ أَعِنِّيْ عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ,"O Allah! Help me remember You, be grateful to You, and worship You excellently.","Abu Dawud 1522"
nostalgia,اللهم لَا تُعَلِّقْ قَلْبِي الضِّعِيفِ بِمَا لَيسَ لِي,"O Allah! Do not let my weak heart cling to what is not mine.","Quran 2:216"
awe,اللهم بارك,"May Allah bless you.","Common Islamic Phrase"
love,اللهم اجعلني من الطيبين وارزقني الطيبات/ اللهم اجعلني من الطيبات وارزقني الطيبين,"O Allah! Make me among the pure men and grant me pure women. / O Allah! Make me among the pure women and grant me pure men.","Quran 24:26"
courage,رَبِّ اشْرَحْ لِي صَدْرِي ۝ وَيَسِّرْ لِي أَمْرِي ۝ وَاحْلُلْ عُقْدَةً مِّن لِّسَانِي ۝ يَفْقَهُوا قَوْلِي,"My Lord! Expand my heart, ease my task, and untie the knot from my tongue so they may understand my speech.","Quran 20:25-28"
amusement,اللهم اجعلني من الذين إذا أحسنوا استبشروا، وإذا أساءوا استغفروا,"O Allah! Make me among those who rejoice in good deeds and seek forgiveness for wrongs.","Ibn Majah 3827"
